objectid,parentid,cmacno,nmmno,filename,title,datedisplay,datesort,datemade,datemadecirca,datemadeend,datelostdisplay,datelostsort,datelost,datelostcirca,datelostend,datelostspeculate,datefounddisplay,datefound,datefoundend,datefoundspeculate,shipwreck,shipwreckname,shipwreckdatedisplay,shipwreckdate,shipwreckdatecirca,shipwreckdescription,shipwreckurl,recoverylat,recoverylong,knownlocationother,knownlocationlat,knownlocationlong,knownlocationprivate,knownlocationpublic,knownlocationpublicurl,knownlocationpublicobject,fragments,watersstimsontypeabrvicon,watersstimsontype,taxonomy,diameter,thickness,thicknesstop,thicknessbottom,weight,scale,maker,makersign,makerfamily,condition,nationalitycard,nationality,markscategories,marksdescription,critiquesofauthenticity,notes,referencespublic,referencespersonalcomm,latitude,longitude,format,type,source,identifier,language,rights,rightsstatement
cmacno039,,39,39,,Sacramento B,pre-1688,1688,,,1688,1688,1688,1688,,,,1977,1977,,,yes,Santíssimo Sacramento,1668,1668,,"Portuguese galleon lost near Salvador, Bahia, Brazil in 1668.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/portuguese-merchantmen/santissimo-sacramento-1668/,-13.042663,-38.499141,public collection,38.69711124,-9.209144675,,"Museu de Marinha, Lisbon, Portugal",https://cultura.marinha.pt/,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",171,20,20,,2320,90-0-90,Agostinho de Goes Raposo,A GOYS,Goes,incomplete,Portuguese,Portuguese,stars; maker name,Four stars: * ???? *. Signed: A / * GOYS *. Text: on the back: * VIDE *.,,"One of three or four astrolabes found on the Portuguese shipwreck Santíssimo Sacramento, lost off S. Salvador da Baía in 1668. Found during the excavation in 1977.","Stimson, 1988",,,,record,,,,,,
cmacno040,,40,40,,Concepcion A,1619,1619,1619,,,1641,1641,1641,,,,1979,1979,,,yes,Nuestra Señora de la Concepción,1641,1641,,"Lost in the Dominican Republic in 1641, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/nuestra-senora-de-la-concepcion-1641-2/,19.81309,-70.677847,public collection,18.47620421,-69.88331809,,"Museo de las Casas Reales, Santo Domingo, Dominican Republic",https://museosrd.gob.do/museos/museo-de-las-casas-reales/,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",175,21,21,,2947,90-0-90,João Dias?,Y DYAS,Dias,alidade is new,Portuguese,Portuguese,double circle; date; maker name,Date: 16[1]9. Double circle incised on the ballast. Signed: Y DYAS.,,"Recovered by treasure hunter Burt Weber in 1979 from the site of the shipwreck Nuestra Senora de la Pura y Limpia Concepción, Silver Banks.","Stimson, 1988",,,,record,,,,,,
cmacno041,,41,41,,Concepcion B,pre-1641,1641,,,1641,1641,1641,1641,,,,1979,1979,,,yes,Nuestra Señora de la Concepción,1641,1641,,"Lost in the Dominican Republic in 1641, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/nuestra-senora-de-la-concepcion-1641-2/,19.81309,-70.677847,public collection,18.47620421,-69.88331809,,"Museo de las Casas Reales, Santo Domingo, Dominican Republic",https://museosrd.gob.do/museos/museo-de-las-casas-reales/,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",166,,,,,obliterated,unknown,,,eroded,Portuguese,Portuguese?,,none apparent.,,"Recovered by treasure hunter Burt Weber in 1979 from the site of the shipwreck Nuestra Senora de la Pura y Limpia Concepción, Silver Banks.","Stimson, 1988",,,,record,,,,,,
cmacno042,,42,42,,Concepcion C,1632,1632,1632,,,1641,1641,1641,,,,1979,1979,,,yes,Nuestra Señora de la Concepción,1641,1641,,"Lost in the Dominican Republic in 1641, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/nuestra-senora-de-la-concepcion-1641-2/,19.81309,-70.677847,public collection,18.47620421,-69.88331809,,"Museo de las Casas Reales, Santo Domingo, Dominican Republic",https://museosrd.gob.do/museos/museo-de-las-casas-reales/,,,1a.svg,Ia4,"wheel type with base ballast, convex base ballast w/ simple upper post tops",165,23,23,,2638,90-0-90,Francisco de Gois,GOIS,Goes,eroded,Portuguese,Portuguese,date; double circle; stars; maker name,Date: 1632. Double circle incised on the ballast. Four stars around the date. Signed: GOIS.,,"Recovered by treasure hunter Burt Weber in 1979 from the site of the shipwreck Nuestra Senora de la Pura y Limpia Concepción, Silver Banks.","Stimson, 1988",,,,record,,,,,,
cmacno043,,43,43,,Banda I,1568,1568,1568,,,1615,1615,1615,,,,1980,1980,,,yes,Banda,1615,1615,,Lost in the Mauritius Islands in 1615 and salvaged by treasure hunters.,https://mass.cultureelerfgoed.nl/banda,-20.143921,57.463486,public collection,-20.16302258,57.50236287,,"National History Museum, Mauritius",https://mauritiusmuseums.govmu.org/mauritiusmuseums/?page_id=1843,,,1a.svg,Ia6,"wheel type with base ballast, complex base ballast",200,13t / 24b,13,24,3240,90-0-90-0-90,unknown,,,complete,Portuguese,Portuguese,quintuple dots cross; date,Date: 1568. Quintuple dots cross.,,"Recovered in 1980 by Patrick Lizé from the VOC shipwreck Banda, lost in the Mauritius Islands in 1615.","Stimson, 1988",,,,record,,,,,,
cmacno044,,44,44,,Isle aux Morts I / Mushrow I,1628,1628,1628,,,,,,,,,1981,1981,,,unknown,,,,,,,47.57618513,-58.98290677,public collection,47.56619912,-52.71191073,,"Newfoundland Museum, Canada",https://therooms.ca/,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",172,21,21,,2989,90-0-90,João Dias?,Y DYAS,Dias,good,Portuguese,Portuguese,date; double circle; stars; maker name,"Date: 1628. Double circle incised on ballast. 11 Stars around the ballast. Signed: 7 Stars around Y DYAS.",,"Recovered by Wayne Mushrow from a possibly French shipwreck at Isle aux Morts, Newfoundland, Canada. Mr. Mushrow found a number of French coins on the site, dated no later than 1638.","Stimson, 1988",,,,record,,,,,,
cmacno045,,45,45,,Santa Margarita,pre-1622,1622,,,1622,1622,1622,1622,,,,1973,1973,,,yes,Santa Margarita,1622,1622,,"Found at the Dry Tortugas presumable site of a Spanish shipwreck, lost in Florida in 1622.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/dry-tortugas-shipwreck-1622/,24.279333,-82.844333,private,,,Mexico,,,,wheel fragment,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",,,,,,obliterated,unknown,,,eroded,unknown,[unknown],,none apparent.,,"Found by Mel Fisher's company near the site of the 1622 Spanish shipwreck believed to be the Santa Margarita and not immediately identified as an astrolabe. Badly eroded and fragmented. Diameter around 150-200 mm.","Stimson, 1988",,,,record,,,,,,
cmacno046,,46,46,,Mounts Bay,1550 – 1600,1550,1550,,1600,,,,,,,1982,1982,,,probably,,,,,,,50.12027744,-5.502014586,public collection,51.48118618,-0.005247660427,,"National Maritime Museum, Greenwich, UK",https://www.rmg.co.uk/national-maritime-museum,https://www.rmg.co.uk/collections/objects/rmgc-object-42242,no alidade,1a.svg,Ia2,"wheel type with base ballast, concave base ballast",207,13t / 26b,13,26,3288,90-0-90,unknown,,,eroded,unknown,[unknown],stars,Small star-like mark on face of bottom ballast.,,"Recovered from Mounts Bay, Cornwall, UK, with a Spanish c.1520 coin. Purchased from the Receiver of Wrecks, H.M. Customs and Excise, Customs House, Penzance, Cornwall, in 1989. In the National Maritime Museum, UK (#NAV0030).","Stimson, 1988",,,,record,,,,,,
cmacno047,,47,47,,Las Palmas,1500 – 1550,1500,1500,,1550,,,,,,,,,,,no,,,,,,,,,public collection,28.10177912,-15.41401202,,"Museo Casa de Colon, Las Palmas, Gran Canaria, Spain",https://www.casadecolon.com/,,,0.svg,0,solid disk,223,5,5,,,0-90-0-90-0,unknown,,,good,Spanish,Spanish?,,none.,"possible replica of lost original, provenience unknown",Provenience unknown. Perhaps dating to the early 16th century.,"Stimson, 1988",,,,record,,,,,,
cmacno048,,48,48,,Vergulde Draeck,date unknown,,,,,1656,1656,1656,,,,1983,1983,,,yes,Vergulde Draeck,1656,1656,,"Lost in Australia in 1656, struck a reef.",https://mass.cultureelerfgoed.nl/vergulde-draeck,-31.224181,115.407086,public collection,-32.05699804,115.7424234,,"Western Australia Museum, Perth, Australia",https://visit.museum.wa.gov.au/,https://museum.wa.gov.au/maritime-archaeology-db/artefacts/gt3078-bronze,,1b.svg,Ib,wheel type with crown ballast,253,17,17,,4280,obliterated,unknown,,,eroded,Dutch,Dutch,,none apparent.,,VOC wreck; most similar to listed numbers,"Stimson, 1988",,,,record,,,,,,
cmacno049,,49,49,,Santa Escolastica,1624,1624,1624,,,1700,1700,1700,,,,1982,1982,,,yes,Santa Escolástica,1624,1624,,"Portuguese frigate, lost at Banco de Sto. António, Bahia, Brazil, salvaged by treasure hunters.",,-13.09375,-38.524923,public collection,-22.90369565,-43.17313079,,"Museo Naval, Rio de Janeiro, Brazil",https://www.marinha.mil.br/dphdm/museu-naval/,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",169,20t / 21b,20,21,2950,90-0-90,Francisco de Gois,GOIS,Goes,good,Portuguese,Portuguese,date; double circle; stars; maker name,Date: 1624. Double circle incised on ballast/ Four stars around the date. Signed: GOIS.,,"Salvage by treasure hunters from the site of the Portuguese frigate Santa Escolástica, lost at Banco de Sto. António, Bahia, Brazil.","Stimson, 1988",,,,record,,,,,,
cmacno050,,50,50,,Ericiera,date unknown,,,,,,,,,,,1983,1983,,,unknown,,,,,,,38.95289781,-9.418858614,public collection,38.69711124,-9.209144675,,"Museu de Marinha, Lisbon, Portugal",https://cultura.marinha.pt/,https://museudigital.marinha.pt/pesquisa/ficha.aspx?id=11665&ns=216000&Lang=po&c=COLE%C7%D5ES&IPR=1799,,1a.svg,Ia8,"wheel type with base ballast, ogee base ballast w/ molded posts",180,12t / 18b,12,18,1945,obliterated,unknown,,,eroded,unknown,[unknown],,none apparent.,,"Found by Mr. Sardinha Alves at the southern end of Ericeira beach, Portugal. The owner offered this specimen to the naval Museum, Lisbon.","Stimson, 1988",,,,record,,,,,,
cmacno051,,51,51,,Madrid I,1700 – 1750,1700,1700,,1750,,,,,,,,,,,no,,,,,,,,,public collection,40.41789176,-3.692679959,,"Museo Naval, Madrid, Spain",https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/cienciaorgano/prefLang-es/01cienciamuseo,,,5.svg,V,concentric ring,300,5,5,,,90-0-90,unknown,,,fine,Portuguese,Portuguese?,,none,provenience unknown,"No provenience. Museo Naval collection, MNM #1281.","Stimson, 1988",,,,record,,,,,,
cmacno052,,52,52,,Madrid II,ca. 1760,1760,1760,ca. ,,,,,,,,,,,,no,,,,,,,,,public collection,40.41789176,-3.692679959,,"Museo Naval, Madrid, Spain",https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/cienciaorgano/prefLang-es/01cienciamuseo,https://bibliotecavirtual.defensa.gob.es/BVMDefensa/es/consulta/registro.do?id=39735,,5.svg,V,concentric ring,293,5,5,,,0-90-0-90-0,Edward Nairne,E. NAIRNE,,fine,English,English,maker name,Signed: E. Nairne London.,,"Edward Nairne (1726-1806) was an instrument maker in London. Probably purchased from his company.","Stimson, 1988",,,,record,,,,,,
cmacno053,,53,53,,Schoonhoven,ca. 1760,1760,1760,ca. ,,,,,,,,,,,,no,,,,,,,,,public collection,51.94729008,4.852187349,,"Nederlands Goud-, Zilver-, en Klokkenmuseum, Schoonhoven, The Netherlands",https://zilvermuseum.com/,,,no.svg,n/a,,150,11,11,,368,0-90-0-90,Peter Dollond,Dollond,,fine,English,English,maker name,Signed: Dollond London.,,"Museum collection, made by Peter Dollond (1730-1820), an instrument maker from London, UK.","Stimson, 1988",,,,record,,,,,,
cmacno054,,54,54,,Santiago,pre-1585,1585,,,1585,1585,1585,1585,,,,1980,1980,,,yes,Santiago,1585,1585,,"Santiago hit the atoll of Bassas da India at full speed during the night, on its way to India, in 1585.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/portuguese-india-route/santiago-1585/,-21.515578,39.644197,public collection,38.69711124,-9.209144675,,"Museu de Marinha, Lisbon, Portugal",https://cultura.marinha.pt/,https://museudigital.marinha.pt/pesquisa/ficha.aspx?id=11672&ns=216000&Lang=po&c=COLE%C7%D5ES&IPR=1799,,1a.svg,Ia1,"wheel type with base ballast, triangular base ballast",180,9t / 19b,9,19,1227,obliterated,unknown,,,eroded,Portuguese,Portuguese?,,none apparent.,,"Recovered by a treasure hunter from the Portuguese Indiaman Santiago, lost at Bassas da India atoll in 1585. Purchased by Lisbon's Naval Museum.","Stimson, 1988",,,,record,,,,,,
cmacno055,,55,55,,Red Bay / San Juan,pre-1565,1565,,,1565,1565,1565,1565,,,,1984,1984,,,yes,San Juan,1565,1565,,"Whaling ship lost in 1565 during a storm in Red Bay Harbour, Canada.",https://mass.cultureelerfgoed.nl/san-juan,51.72809593,-56.42679497,public collection,51.73141914,-56.42796841,,"Red Bay, Labrador, Canada",https://parks.canada.ca/lhn-nhs/nl/redbay,,"wheel fragment, no alidade",1a.svg,Ia6,"wheel type with base ballast, complex base ballast",205,15,15,,,obliterated,unknown,,,eroded,Spanish,Spanish?,,none apparent.,,"Recovered by Robert Grenier's team from the Basque galleon San Juan, lost in 1565 at Red Bay, Labrador.","Stimson, 1988",,,,record,,,,,,
cmacno056,,56,56,,Banda II,1602,1602,1602,,,1615,1615,1615,,,,1980,1980,,,yes,Banda,1615,1615,,Lost in the Mauritius Islands in 1615 and salvaged by treasure hunters.,https://mass.cultureelerfgoed.nl/banda,-20.143921,57.463486,public collection,52.37173473,4.91435474,,"Scheepvaart Museum, Amsterdam, the Netherlands",https://www.hetscheepvaartmuseum.com/,https://collectie.hetscheepvaartmuseum.nl/Details/collect/512813,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",175,17t / 20b,17,20,,90-0-90,unknown,R,,eroded,Portuguese,Portuguese,date; double circle; maker name,Date: 1602. Double circle incised on the ballast. Signed: R is stamped above the date.,,"Recovered from the 1615 VOC shipwreck Banda, in the 1980s, and purchased by the Nederlands Scheepvaart Museum in 1986, through Sotheby's, for 25,000 Pounds.","Stimson, 1988",,,,record,,,,,,
cmacno057,,57,57,,Isle of Wight,date unknown,,,,,,,,,,,1986,1986,,,unknown,,,,,,,"50.56542739361203,",-1.298231448,private,,,United Kingdom,,,,,1b.svg,Ib,wheel type with crown ballast,253,19,19,,,obliterated,unknown,,,eroded,Dutch,Dutch,,none apparent.,,"Recovered in 1986 by Martin Woodward off St. Catherine's Point, Isle of Wright.","Stimson, 1988",,,,record,,,,,,
cmacno058,,58,58,,Atocha II,1616,1616,1616,,,1622,1622,1622,,,,1986,1986,,,yes,Nuestra Señora de Atocha,1622,1622,,"A Spanish ship lost in Florida in 1622, on its way to  Spain, and salvaged by treasure hunters.",https://mass.cultureelerfgoed.nl/the-atocha,24.279333,-82.844333,"unknown, auctioned",,,"Trevor Philip & Sons, London, UK",,,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",171,21t / 22b,21,22,3013,90-0-90,unknown,I,,good,Portuguese,Portuguese,date; double circle; stars; I,Date: 1616. Double circle incised on the ballast. Stars: four around the ballast. Signed: I.,,"The ""I"" stamped on the base ballast is probably a signature of the maker. Purchased by Trevor Philip & Sons, London in 1988.","Stimson, 1988",,,,record,,,,,,
cmacno059,,59,59,,Atocha III,1605,1605,1605,,,1622,1622,1622,,,,1986,1986,,,yes,Nuestra Señora de Atocha,1622,1622,,"A Spanish ship lost in Florida in 1622, on its way to  Spain, and salvaged by treasure hunters.",https://mass.cultureelerfgoed.nl/the-atocha,24.279333,-82.844333,public collection,38.69711124,-9.209144675,,"Museu de Marinha, Lisbon, Portugal",https://cultura.marinha.pt/,https://museudigital.marinha.pt/pesquisa/ficha.aspx?id=11691&ns=216000&Lang=po&c=COLE%C7%D5ES&IPR=1799,,1a.svg,Ia3,"wheel type with base ballast, convex base ballast w/ simple post tops",156,18t / 20b,18,20,2180,90-0-90,unknown member of Goes family?,G,Goes,good,Portuguese,Portuguese,date; stars; maker name,Date: 1605. Stars: four around the date. Signed: G.,,"Recovered by Mel Fisher's team from the site of the 1622 Nuestra Senora de Atocha shipwreck. Purchased at Christie's by Museu de Marinha, Lisbon, in 1988. The ""G"" may be the signature of one of the members of the Goes family of astrolabe makers.","Stimson, 1988",,,,record,,,,,,
cmacno060,,60,60,,Atocha IV,1614,1614,1614,,,1622,1622,1622,,,,1986,1986,,,yes,Nuestra Señora de Atocha,1622,1622,,"A Spanish ship lost in Florida in 1622, on its way to  Spain, and salvaged by treasure hunters.",https://mass.cultureelerfgoed.nl/the-atocha,24.279333,-82.844333,public collection,38.69711124,-9.209144675,,"Museu de Marinha, Lisbon, Portugal",https://cultura.marinha.pt/,https://museudigital.marinha.pt/pesquisa/ficha.aspx?id=11692&ns=216000&Lang=po&c=COLE%C7%D5ES&IPR=1799,no alidade,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",172,20t / 21b,20,21,2817,90-0-90,João Dias?,Y DYAS,Dias,eroded,Portuguese,Portuguese,circle; stars; maker name; pillars of Hercules stamp; tower stamp,A circle incised on the ballast; * 16 * 14 * / * Y DYAS * / two Spanish stamps,,"Recovered by Mel Fisher's team from the site of the 1622 Nuestra Senora de Atocha shipwreck. Purchased at Christie's by Lisbon's Museu de Marinha in 1988. Is signed by João Dias and has two Spanish stamps with the Pillars of Hercules surmounted by royal c","Stimson, 1988",,,,record,,,,,,
cmacno061,,61,61,,Atocha V,1616,1616,1616,,,1622,1622,1622,,,,1986,1986,,,yes,Nuestra Señora de Atocha,1622,1622,,"A Spanish ship lost in Florida in 1622, on its way to  Spain, and salvaged by treasure hunters.",https://mass.cultureelerfgoed.nl/the-atocha,24.279333,-82.844333,unknown,,,,,,,,1a.svg,Ia2,"wheel type with base ballast, concave base ballast",212,16,16,,2720,0-90-0; 0-90,unknown,,,eroded,Spanish,Spanish?,stars; date,* 1616 *,,"Recovered by Mel Fisher's team from the site of the 1622 Nuestra Senora de Atocha shipwreck. Has an additional scale and a modified alidade.","Stimson, 1988",,,,record,,,,,,
cmacno062,,62,62,,Huelva,date unknown,,,,,,,,,,,1980,1980,,,unknown,,,,,,,37.0000439,-6.573911282,private,,,Spain,,,,,1a.svg,Ia8,"wheel type with base ballast, ogee base ballast w/ molded posts",183,21,21,,2400,obliterated,unknown,,,eroded,Spanish; Portuguese,Iberian,,none apparent.,,"Found in 1980 by a fisherman in the sea off Torre la Higuera, Huelva, Spain.","Stimson, 1988.",,,,record,,,,,,
cmacno063,,63,63,,Rincon,1616,1616,1616,,,,,,,,,1986,1986,,,yes,Rincón,1652,1652,,"Likely English, or Portuguese ship seized by Prince Rupert.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/portuguese-merchantmen/rincon/,17.885674,-67.296439,public collection,18.47081232,-66.12140132,,"Instituto Nacional de Cultura, San Juan, Puerto Rico",https://www.icp.pr.gov/en/,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",170,17,17,,3082,0-90-0,unknown,,,good,Spanish,Spanish?,double circle; stars; date,A double circle incised on the ballast; ; * 1616 *,,"Recovered off Rincon beach, on the west coast of Puerto Rico in 1986, from a shipwreck dated to circa 1680. It was hypothesized that this shipwreck could be the Defiance of Prince Maurice, lost in 1652, but there is no evidence to support this theory.","Stimson, 1988; Garcia 2005.",,,,record,,,,,,
cmacno064,,64,64,,Cadiz I,1648,1648,1648,,,,,,,,,1981,1981,,,unknown,,,,,,,36.533333,-6.266667,public collection,52.37173473,4.91435474,,"Scheepvaart Museum, Amsterdam, the Netherlands",https://www.hetscheepvaartmuseum.com/,https://collectie.hetscheepvaartmuseum.nl/Details/collect/613848,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",167,20,20,,3061,0-90-0,André Ruffo,ANDRE RVFFO,Ruffo,good,Portuguese,Portuguese?,double circle; stars; date; maker name,"A double circle incised on the ballast; * / * 16 * 48 * / * / * ANDRE * RVFFO * / on the back MEL ALVRESONOVO",,"One of two astrolabes recovered by a dredge in the Cadiz harbor, in 1981. Signed by Andre Ruffo and dated to 1648. Owner mark in the back, from Manuel Alvares o Novo.",Stimson 1988.,,,,record,,,,,,
cmacno065,,65,65,,Cadiz II,date unknown,,,,,,,,,,,1981,1981,,,unknown,,,,,,,36.533333,-6.266667,private,,,Netherlands,,,,,no.svg,unknown,,,,,,,[unknown],unknown,,,[unknown],unknown,[unknown],,,,"One of two astrolabes recovered by a dredge in the Cadiz harbor, in 1981. No images of this astrolabe are known.",Stimson 1988.,,,,record,,,,,,
cmacno066,,66,,,Zacharchuk,pre-1593,1593,,,1593,1593,1593,1593,,,,,,,,unknown,,,,,,,,,private,,,,,,,,1a.svg,Ia7,"wheel type with base ballast, ogeee base ballast",186,21,21,,3402,90-0-90,unknown,,,good,unknown,unknown,stars; date; armillary sphere,* 1593 * 0014 * / Armillary Sphere,,"Recovered off Cuba by a Canadian Embassy Attaché on the beach in Cuba, in the 1970s. The finder brought the Astrolabe to Parks Canada office in Ottawa sometime in 1988, where it was photgraphed and measured. The mark ""0014"" is starnge and dificult to obse","Garcia, 2005.",,,,record,,,,,,
cmacno067,,67,,,Seahawk I,pre-1622,1622,,,1622,1622,1622,1622,,,,1980 – 1990,1980,1990,,possibly,Buen Jesús y Nuestra Señora del Rosario,1622,1622,,"Found at the Dry Tortugas presumable site of a Spanish shipwreck, lost in Florida in 1622, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/dry-tortugas-shipwreck-1622/,24.279333,-82.844333,private,,,"Odyssey Marine, USA",,,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",186,23t / 24b,23,24,3080,obliterated,João Dias?,Y DYAS,Dias,eroded,Portuguese,Portuguese,maker name,Y DYAS,,"Recovered by Seahawk from the Dry Tortugas Deep Water Wreck, possibly the Nuestra Senora del Rosario y Buen Jesus, sunk off Florida in 1622.","Garcia, 2005.",,,,record,,,,,,
cmacno068,,68,,,Seahawk III,pre-1622,1622,,,1622,1622,1622,1622,,,,,,,,possibly,Buen Jesús y Nuestra Señora del Rosario,1622,1622,,"Found at the Dry Tortugas presumable site of a Spanish shipwreck, lost in Florida in 1622, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/dry-tortugas-shipwreck-1622/,24.279333,-82.844333,private,,,"Odyssey Marine, USA",,,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",171,26,26,,3126,obliterated,unknown,,,eroded,Portuguese,Portuguese?,double circle; armillary sphere,A double circle incised on the ballast; Armillary Sphere,,"Recovered by Seahawk from the Dry Tortugas Deep Water Wreck, possibly the Nuestra Senora del Rosario y Buen Jesus, sunk off Florida in 1622.","Garcia, 2005.",,,,record,,,,,,
cmacno069,,69,,,Seahawk III,pre-1622,1622,,,1622,1622,1622,1622,,,,1980 – 1990,1980,1990,,possibly,Buen Jesús y Nuestra Señora del Rosario,1622,1622,,"Found at the Dry Tortugas presumable site of a Spanish shipwreck, lost in Florida in 1622, and salvaged by treasure hunters.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/dry-tortugas-shipwreck-1622/,24.279333,-82.844333,private,,,"Odyssey Marine, USA",,,https://web.archive.org/web/20160412194457/http://shipwreck.net/g2/gallery2/v/ShipwreckProjects/tortugas/artifacts/Astrolabe.JPG.html,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",173,21t / 23b,21,23,2540,obliterated,unknown,,,eroded,unknown,[unknown],,none apparent.,,"Recovered by Seahawk from the Dry Tortugas Deep Water Wreck, possibly the Nuestra Senora del Rosario y Buen Jesus, sunk off Florida in 1622.","Garcia, 2005.",,,,record,,,,,,
cmacno070,,70,,,Seahawk IV,date unknown,,,,,,,,,,,,,,,unknown,,,,,,,,,private,,,"Odyssey Marine, USA",,,,no alidade,1a.svg,Ia2,"wheel type with base ballast, concave base ballast",206,14t / 27b,14,27,3500,obliterated,unknown,,,eroded,Spanish; Portuguese,Iberian,,none apparent.,provenience unknown,"Bought by Seahawk from another treasure hunter? This astrolabe is unprovenanced and not from the Dry Tortugas shipwreck.","Garcia, 2005.",,,,record,,,,,,
cmacno071,,71,,,Lucayan I,1602,1602,1602,,,1627?,1627,1627,,,?,1993,1993,,,"unknown, after 1627",,,,,,,23.09883986,-81.50501905,public collection,26.51342768,-78.6425625,,"Bahamas Maritime Museum, Port Lucaya, Grand Bahama Island, Bahamas",https://www.bahamasmaritimemuseum.com/,,,1a.svg,Ia5,"wheel type with base ballast, convex base ballast w/ concave post tops",,,,,,0-90-0,unknown,,,[unknown],unknown,unknown,date,1602,,"Recovered by John Brandon of Fort Pierce, Florida, in 1993, while digging a site tentatively identified as one of the small vessels seized by Piet Heyn in 1628 and lost on the way to Holland during a hurricane.",,"John Brandon, 2015",,,record,,,,,,
cmacno072,,72,,,San Martin,1593,1593,1593,,,1618,1618,1618,,,,1993,1993,,,yes,San Martin,1618,1618,,"Spanish ship leaving Havana for Spain, lost off the coast of Florida in 1618 during a storm.",https://shiplib.org/index.php/shipwrecks/iberian-shipwrecks/spanish-and-the-new-world/green-cabin-shipwreck-1618-2/,27.857706,-80.443125,private,,,,,,,,1a.svg,Ia6,"wheel type with base ballast, complex base ballast",203,16t / 18b,16,18,,0-90-0,unknown,,,good,Spanish,Spanish,date; pillars of Hercules stamp; tower stamp,1593 / two Spanish stamps,,"Found in 1993 by a salvage company working on the site tentatively identified as the 1618 Spanish ship San Martin, in Florida.",,"Corey Malcom, 2015",,,record,,,,,,
cmacno073,,73,,,Aveiro,1575,1575,1575,,,,,,,,,1992,1992,,,unknown,,,,,,,40.598858,-8.746247,public collection,38.69711124,-9.209144675,,"Museu de Marinha, Lisbon, Portugal",https://cultura.marinha.pt/,https://museudigital.marinha.pt/pesquisa/ficha.aspx?id=11714&ns=216000&Lang=po&c=COLE%C7%D5ES&IPR=1799,,1a.svg,Ia2,"wheel type with base ballast, concave base ballast",197,15t / 19b,15,19,2770,90-0-90,unknown,,,good,Portuguese,Portuguese,quintuple dots cross; date,Quintuple dots cross / 1575,,"Found in Ria de Aviero, Portugal. Slightly damaged by its finder, who cleaned it with a hard mesh.","Garcia, 2005",,,,multiple,,,,,,
cmacno073img1,cmacno073,,,cmacno073img1.png,"Frontal view, (c) Museu de Marinha, Lisbon, Portugal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://museudigital.marinha.pt/pesquisa/ficha.aspx?id=11714&ns=216000&Lang=po&c=COLE%C7%D5ES&IPR=1799,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,
cmacno073img2,cmacno073,,,cmacno073img2.png,Sectional study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/png,,,,,,
cmacno074,,74,,,Mushrow II / Isle aux Morts II,pre-1617,1617,,,1617,1617,1617,1617,,,,1991,1991,,,"unknown, after 1638",,,,,,,47.57618513,-58.98290677,public collection,47.56619912,-52.71191073,,"Newfoundland Museum, Canada",https://therooms.ca/,,,1a.svg,Ia6,"wheel type with base ballast, complex base ballast",195,17t / 18b,17,18,,0-90-0-90-0,Adrian Holland,ADRIAN HOLLAND,,good,French,French,maker name; date; stars,A […] / ADRIAN HOLLAND […] / 1617 / Four six-pointed stars on each horizontal spoke,,"Discovered by Wayne Mushrow in 1983 at the Isle aux Morts shipwreck. The marks are difficult to read from the pictures available.","Garcia, 2005",,,,record,,,,,,
